name;artist;listeners;playcount;
Stateside + Zara Larsson;PinkPantheress;1254039;20874897;
Earrings;Malcolm Todd;736808;9711095;
Billie Jean;Michael Jackson;3240354;26599369;
drop dead;Olivia Rodrigo;587425;7579432;
Beauty and a Beat;Justin Bieber;1748602;17161299;
Rock Music;Charli xcx;205985;851274;
Babydoll;Dominic Fike;1710390;25824247;
Beat It;Michael Jackson;2636218;19363873;
Dracula - JENNIE remix;Tame Impala;664491;5223623;
Don't Stop 'Til You Get Enough;Michael Jackson;1422231;8242913;
The Less I Know the Better;Tame Impala;2792765;48994723;
Dracula;Tame Impala;1116326;11704241;
SWIM;BTS;442177;166424437;
Fame Is a Gun;Addison Rae;1069743;21042916;
505;Arctic Monkeys;3033917;58388303;
Body to Body;BTS;394920;48293097;
Midnight Sun;Zara Larsson;770147;12861222;
Girl Like Me;PinkPantheress;660514;8822938;
Manchild;Sabrina Carpenter;1282626;25901768;
Human Nature;Michael Jackson;1219285;8179489;
Hooligan;BTS;369236;46303189;
The One That Got Away;Katy Perry;1870273;20554933;
House Tour;Sabrina Carpenter;784147;13544963;
2.0;BTS;341219;45808043;
Creep;Radiohead;4097964;60824891;
Mr. Brightside;The Killers;3691107;51468788;
Chicago;Michael Jackson;1110673;12295274;
Sweater Weather;The Neighbourhood;2981703;50412353;
back to friends;sombr;1451226;25216424;
FYA;BTS;348587;44401326;
End of Beginning;Djo;2036823;35045583;
Good Luck; Babe!;Chappell Roan;2092102;60306542
See You Again (feat. Kali Uchis);Tyler, The Creator;2569655;57877474;
they don’t know ’bout us;BTS;314504;42084223;
Lovers Rock;TV Girl;2188596;50623611;
Dreams - 2004 Remaster;Fleetwood Mac;2004457;28760703;
Iris;The Goo Goo Dolls;2331153;31728324;
Aliens;BTS;331327;44219958;
Like Animals;BTS;314381;43157499;
No One Noticed;The Marías;1596925;33855278;
BIRDS OF A FEATHER;Billie Eilish;2229240;55717460;
NORMAL;BTS;317187;45329889;
Flashing Lights;Kanye West;2228327;37517265;
Pink + White;Frank Ocean;2449768;59627735;
Smooth Criminal - 2012 Remaster;Michael Jackson;1320615;8778629;
Rock With You - Single Version;Michael Jackson;1444894;11333029;
Sienna;The Marías;1199748;20797732;
Sweet Boy;Malcolm Todd;732799;10235405;
Please;BTS;298155;41652848;
Feel Good Inc.;Gorillaz;3271861;40230567;
